ANO;MES;DATA;FASES;CHAPECO;BARRAMENTO;CAIBI;NONOAI;INMET1;INMET2
2024;8;20240801;POS-ENCHIMENTO;85;91;100.8;81.6;149.2;141.9
2024;9;20240901;POS-ENCHIMENTO;110;122.2;112.4;112.2;163.3;194.2
2024;10;20241001;POS-ENCHIMENTO;224.2;264.6;257.6;188.8;192;246.9
2024;11;20241101;POS-ENCHIMENTO;203.6;160.4;161.4;210;182.6;157.2
2024;12;20241201;POS-ENCHIMENTO;155.6;120.2;164.4;181;157.7;168.1
2025;1;20250101;POS-ENCHIMENTO;231;199.4;127.2;198.4;162.6;177.6
2025;2;20250201;POS-ENCHIMENTO;85.4;110.2;92.6;59;173.7;210.1
2025;3;20250301;POS-ENCHIMENTO;75.8;198.8;17.2;79.4;116.5;131.9
2025;4;20250401;POS-ENCHIMENTO;175.2;162;174.8;244;167;172.1
2025;5;20250501;POS-ENCHIMENTO;133.2;142.6;175.6;121;188.9;174.1
2025;6;20250601;POS-ENCHIMENTO;410.8;401.4;359.2;465.6;146.2;159.1
2025;7;20250701;CA 2025-2026;80.6;70.0;76.4;77.0;153.9;191.4
2025;8;20250801;CA 2025-2026;209.8;191.4;159.8;211.8;149.2;141.9
2025;9;20250901;CA 2025-2026;195.6;207.6;206.4;209.6;163.3;194.2
2025;10;20251001;CA 2025-2026;211.6;382.4;284.8;321.2;192;246.9
2025;11;20251101;CA 2025-2026;136.2;95.6;104.4;132.0;182.6;157.2
2025;12;20251201;CA 2025-2026;297.4;269.4;239.6;360.6;157.7;168.1
2026;1;20260101;CA 2025-2026;149.4;116.2;138.4;91.2;162.6;177.6
2026;2;20260201;CA 2025-2026;133.8;125.0;116.2;112.1;173.7;210.1
2026;3;20260301;CA 2025-2026;67.8;101.4;66.6;39.4;116.5;131.9
2026;4;20260401;CA 2025-2026;87.8;93.2;79.4;109.0;167;172.1
2026;5;20260501;CA 2025-2026;157.2;163.0;149.2;120.2;188.9;174.1
2026;6;20260601;CA 2025-2026;;;;;146.2;159.1
